Chr,MoC
chr1,0.2983620825502268
chr2,0.314870523749559
chr3,0.3453814497235
chr4,0.31543199249792847
chr5,0.3063839280510358
chr6,0.331988146964618
chr7,0.33096064386667595
chr8,0.3208237674297338
chr9,0.25996831196510345
chr10,0.3374231166866849
chr11,0.3357088927659594
chr12,0.38994586012391413
chr13,0.24077424516867493
chr14,0.22687431398983504
chr15,0.2723918681724857
chr16,0.30347871991193975
chr17,0.3787228854519704
chr18,0.2973688192495208
chr19,0.38333471668871716
chr20,0.38643896907148306
chr21,0.3961944901082304
chr22,0.41586512102272016
chrX,0.16424404000521087
Whole genome,0.31407172245548276
