"","chromosome","best_score","best_length"
"chr21.1","chr21",1,1800000
"chr21.2","chr21",0.928571428571429,1300000
"chr21.3","chr21",0.8125,1400000
"chr21.4","chr21",1,1700000
"chr21.5","chr21",0.9,900000
"chr21.6","chr21",0.972972972972973,7300000
"chr21.7","chr21",0.192307692307692,1100000
"chr21.8","chr21",1,2100000
"chr21.9","chr21",0.636363636363636,700000
"chr21.10","chr21",1,400000
"chr21.11","chr21",0.916666666666667,1100000
"chr21.12","chr21",1,700000
"chr21.13","chr21",1,700000
"chr21.14","chr21",0.833333333333333,900000
"chr21.15","chr21",0.166666666666667,600000
"chr21.16","chr21",1,1400000
"chr21.17","chr21",0.125,700000
"chr21.18","chr21",0.875,600000
"chr21.19","chr21",0.388888888888889,800000
"chr21.20","chr21",1,1100000
"chr21.21","chr21",0.888888888888889,1600000
"chr21.22","chr21",0.111111111111111,700000
"chr21.23","chr21",1,800000
"chr21.24","chr21",0.5,700000
"chr21.25","chr21",0.5,900000
"chr21.26","chr21",1,700000
"chr21.27","chr21",NA,NA
"chr21.28","chr21",NA,NA
