Chr,MoC
chr1,0.7295036063901965
chr2,0.6614167681339475
chr3,0.6494813040646586
chr4,0.5875832938750333
chr5,0.6168414068775898
chr6,0.6617159157409752
chr7,0.6160478955795827
chr8,0.6465214183630502
chr9,0.6644644256084338
chr10,0.6252398046255293
chr11,0.6928097201886351
chr12,0.7067323194542362
chr13,0.6186592619796156
chr14,0.6532930560906367
chr15,0.7400824148157839
chr16,0.6752404260552216
chr17,0.6921647586094921
chr18,0.6903567809312076
chr19,0.6542136508618933
chr20,0.7484600727060777
chr21,0.5709479574413194
chr22,0.7265048785197885
chrX,0.5367781610717415
Whole genome,0.6602229581578293
