"","chromosome","best_score","best_length"
"chr21.1","chr21",1,1800000
"chr21.2","chr21",1,1400000
"chr21.3","chr21",0.928571428571429,1600000
"chr21.4","chr21",1,1400000
"chr21.5","chr21",1,1000000
"chr21.6","chr21",0.986301369863014,7400000
"chr21.7","chr21",1,2600000
"chr21.8","chr21",1,1100000
"chr21.9","chr21",1,1200000
"chr21.10","chr21",1,600000
"chr21.11","chr21",0.857142857142857,600000
"chr21.12","chr21",1,1200000
"chr21.13","chr21",1,1500000
"chr21.14","chr21",1,800000
"chr21.15","chr21",1,1800000
"chr21.16","chr21",1,1800000
"chr21.17","chr21",1,800000
"chr21.18","chr21",1,1400000
"chr21.19","chr21",1,900000
"chr21.20","chr21",NA,NA
"chr21.21","chr21",NA,NA
"chr21.22","chr21",NA,NA
"chr21.23","chr21",NA,NA
"chr21.24","chr21",NA,NA
"chr21.25","chr21",NA,NA
