chr,from.id,from.coord,to.id,to.coord,type,size
chrX,0,0,0,0,gap,0
chrX,0,0,9,900000,domain,900000
chrX,9,900000,24,2400000,domain,1500000
chrX,24,2400000,34,3400000,domain,1000000
chrX,34,3400000,54,5400000,domain,2000000
chrX,54,5400000,73,7300000,domain,1900000
chrX,73,7300000,81,8100000,domain,800000
chrX,81,8100000,91,9100000,domain,1000000
chrX,91,9100000,101,10100000,domain,1000000
chrX,101,10100000,116,11600000,domain,1500000
chrX,116,11600000,131,13100000,domain,1500000
chrX,131,13100000,145,14500000,domain,1400000
chrX,145,14500000,161,16100000,domain,1600000
chrX,161,16100000,177,17700000,domain,1600000
chrX,177,17700000,190,19000000,domain,1300000
chrX,190,19000000,209,20900000,domain,1900000
chrX,209,20900000,224,22400000,domain,1500000
chrX,224,22400000,237,23700000,domain,1300000
chrX,237,23700000,245,24500000,domain,800000
chrX,245,24500000,271,27100000,domain,2600000
chrX,271,27100000,294,29400000,domain,2300000
chrX,294,29400000,305,30500000,domain,1100000
chrX,305,30500000,316,31600000,domain,1100000
chrX,316,31600000,341,34100000,domain,2500000
chrX,341,34100000,361,36100000,domain,2000000
chrX,361,36100000,390,39000000,domain,2900000
chrX,390,39000000,405,40500000,domain,1500000
chrX,405,40500000,419,41900000,domain,1400000
chrX,419,41900000,429,42900000,domain,1000000
chrX,429,42900000,448,44800000,domain,1900000
chrX,448,44800000,461,46100000,domain,1300000
chrX,461,46100000,480,48000000,domain,1900000
chrX,480,48000000,493,49300000,domain,1300000
chrX,493,49300000,508,50800000,domain,1500000
chrX,508,50800000,533,53300000,domain,2500000
chrX,533,53300000,545,54500000,domain,1200000
chrX,545,54500000,559,55900000,domain,1400000
chrX,559,55900000,569,56900000,domain,1000000
chrX,569,56900000,576,57600000,domain,700000
chrX,576,57600000,593,59300000,domain,1700000
chrX,593,59300000,614,61400000,domain,2100000
chrX,614,61400000,632,63200000,domain,1800000
chrX,632,63200000,644,64400000,domain,1200000
chrX,644,64400000,651,65100000,domain,700000
chrX,651,65100000,664,66400000,domain,1300000
chrX,664,66400000,676,67600000,domain,1200000
chrX,676,67600000,684,68400000,domain,800000
chrX,684,68400000,709,70900000,domain,2500000
chrX,709,70900000,719,71900000,domain,1000000
chrX,719,71900000,726,72600000,domain,700000
chrX,726,72600000,743,74300000,domain,1700000
chrX,743,74300000,761,76100000,domain,1800000
chrX,761,76100000,839,83900000,domain,7800000
chrX,839,83900000,847,84700000,domain,800000
chrX,847,84700000,856,85600000,domain,900000
chrX,856,85600000,861,86100000,domain,500000
chrX,861,86100000,874,87400000,domain,1300000
chrX,874,87400000,900,90000000,domain,2600000
chrX,900,90000000,911,91100000,domain,1100000
chrX,911,91100000,924,92400000,domain,1300000
chrX,924,92400000,933,93300000,domain,900000
chrX,933,93300000,944,94400000,domain,1100000
chrX,944,94400000,957,95700000,domain,1300000
chrX,957,95700000,985,98500000,domain,2800000
chrX,985,98500000,1009,100900000,domain,2400000
chrX,1009,100900000,1021,102100000,domain,1200000
chrX,1021,102100000,1039,103900000,domain,1800000
chrX,1039,103900000,1064,106400000,domain,2500000
chrX,1064,106400000,1118,111800000,domain,5400000
chrX,1118,111800000,1127,112700000,domain,900000
chrX,1127,112700000,1135,113500000,domain,800000
chrX,1135,113500000,1143,114300000,domain,800000
chrX,1143,114300000,1160,116000000,domain,1700000
chrX,1160,116000000,1185,118500000,domain,2500000
chrX,1185,118500000,1195,119500000,domain,1000000
chrX,1195,119500000,1202,120200000,domain,700000
chrX,1202,120200000,1214,121400000,domain,1200000
chrX,1214,121400000,1221,122100000,domain,700000
chrX,1221,122100000,1252,125200000,domain,3100000
chrX,1252,125200000,1261,126100000,domain,900000
chrX,1261,126100000,1289,128900000,domain,2800000
chrX,1289,128900000,1304,130400000,domain,1500000
chrX,1304,130400000,1315,131500000,domain,1100000
chrX,1315,131500000,1324,132400000,domain,900000
chrX,1324,132400000,1335,133500000,domain,1100000
chrX,1335,133500000,1342,134200000,domain,700000
chrX,1342,134200000,1349,134900000,domain,700000
chrX,1349,134900000,1360,136000000,domain,1100000
