chr,from.id,from.coord,to.id,to.coord,type,size
chr15,0,0,0,0,gap,0
chr15,0,0,2,200000,domain,200000
chr15,2,200000,10,1000000,domain,800000
chr15,10,1000000,16,1600000,domain,600000
chr15,16,1600000,51,5100000,domain,3500000
chr15,51,5100000,63,6300000,domain,1200000
chr15,63,6300000,82,8200000,domain,1900000
chr15,82,8200000,97,9700000,domain,1500000
chr15,97,9700000,111,11100000,domain,1400000
chr15,111,11100000,120,12000000,domain,900000
chr15,120,12000000,136,13600000,domain,1600000
chr15,136,13600000,143,14300000,domain,700000
chr15,143,14300000,150,15000000,domain,700000
chr15,150,15000000,158,15800000,domain,800000
chr15,158,15800000,171,17100000,domain,1300000
chr15,171,17100000,188,18800000,domain,1700000
chr15,188,18800000,204,20400000,domain,1600000
chr15,204,20400000,224,22400000,domain,2000000
chr15,224,22400000,238,23800000,domain,1400000
chr15,238,23800000,250,25000000,domain,1200000
chr15,250,25000000,269,26900000,domain,1900000
chr15,269,26900000,277,27700000,domain,800000
chr15,277,27700000,285,28500000,domain,800000
chr15,285,28500000,295,29500000,domain,1000000
chr15,295,29500000,306,30600000,domain,1100000
chr15,306,30600000,319,31900000,domain,1300000
chr15,319,31900000,342,34200000,domain,2300000
chr15,342,34200000,349,34900000,domain,700000
chr15,349,34900000,356,35600000,domain,700000
chr15,356,35600000,364,36400000,domain,800000
chr15,364,36400000,370,37000000,domain,600000
chr15,370,37000000,378,37800000,domain,800000
chr15,378,37800000,385,38500000,domain,700000
chr15,385,38500000,405,40500000,domain,2000000
chr15,405,40500000,416,41600000,domain,1100000
chr15,416,41600000,431,43100000,domain,1500000
chr15,431,43100000,443,44300000,domain,1200000
chr15,443,44300000,454,45400000,domain,1100000
chr15,454,45400000,464,46400000,domain,1000000
chr15,464,46400000,474,47400000,domain,1000000
chr15,474,47400000,483,48300000,domain,900000
chr15,483,48300000,499,49900000,domain,1600000
chr15,499,49900000,511,51100000,domain,1200000
chr15,511,51100000,520,52000000,domain,900000
chr15,520,52000000,529,52900000,domain,900000
chr15,529,52900000,538,53800000,domain,900000
chr15,538,53800000,551,55100000,domain,1300000
chr15,551,55100000,562,56200000,domain,1100000
chr15,562,56200000,571,57100000,domain,900000
chr15,571,57100000,578,57800000,domain,700000
chr15,578,57800000,589,58900000,domain,1100000
chr15,589,58900000,597,59700000,domain,800000
chr15,597,59700000,603,60300000,domain,600000
chr15,603,60300000,627,62700000,domain,2400000
chr15,627,62700000,654,65400000,domain,2700000
chr15,654,65400000,674,67400000,domain,2000000
chr15,674,67400000,689,68900000,domain,1500000
chr15,689,68900000,696,69600000,domain,700000
chr15,696,69600000,707,70700000,domain,1100000
chr15,707,70700000,728,72800000,domain,2100000
chr15,728,72800000,735,73500000,domain,700000
chr15,735,73500000,742,74200000,domain,700000
chr15,742,74200000,749,74900000,domain,700000
chr15,749,74900000,763,76300000,domain,1400000
