chr,from.coord,to.coord,tag
chr1,950000,1220000,domain
chr1,1860000,2080000,domain
chr1,2120000,2320000,domain
chr1,2330000,2490000,domain
chr1,2930000,3350000,domain
chr1,3360000,3590000,domain
chr1,4000000,5900000,domain
chr1,6050000,6260000,domain
chr1,6290000,6520000,domain
chr1,6530000,6720000,domain
chr1,7280000,7710000,domain
chr1,7720000,8010000,domain
chr1,8040000,8400000,domain
chr1,8480000,8920000,domain
chr1,8620000,8770000,domain
chr1,8930000,9130000,domain
chr1,9170000,9320000,domain
chr1,9330000,9540000,domain
chr1,9680000,9950000,domain
chr1,10550000,11040000,domain
chr1,10560000,10930000,domain
chr1,11070000,11330000,domain
chr1,11360000,11700000,domain
chr1,12360000,12720000,domain
chr1,13990000,14160000,domain
chr1,15220000,15410000,domain
chr1,15430000,15850000,domain
chr1,15440000,15630000,domain
chr1,15630000,15810000,domain
chr1,15870000,16090000,domain
chr1,16110000,16340000,domain
chr1,16390000,16550000,domain
chr1,17380000,17720000,domain
chr1,17780000,17970000,domain
chr1,17990000,18910000,domain
chr1,18910000,19190000,domain
chr1,19210000,19420000,domain
chr1,19420000,19580000,domain
chr1,19660000,19990000,domain
chr1,20060000,20220000,domain
chr1,20240000,20500000,domain
chr1,20530000,20820000,domain
chr1,20830000,20990000,domain
chr1,21060000,21540000,domain
chr1,21220000,21540000,domain
chr1,21540000,21960000,domain
chr1,21540000,21700000,domain
chr1,21700000,21970000,domain
chr1,22000000,22370000,domain
chr1,22000000,22150000,domain
chr1,22170000,22350000,domain
chr1,22420000,22980000,domain
chr1,22430000,22740000,domain
chr1,22750000,22980000,domain
chr1,22990000,23260000,domain
chr1,23380000,23620000,domain
chr1,23850000,24010000,domain
chr1,24520000,24730000,domain
chr1,24750000,24960000,domain
chr1,25230000,25540000,domain
chr1,25590000,25870000,domain
chr1,25890000,26130000,domain
chr1,26150000,26350000,domain
chr1,26350000,26760000,domain
chr1,26820000,27230000,domain
chr1,27280000,27620000,domain
chr1,27430000,27620000,domain
chr1,27720000,28000000,domain
chr1,28160000,28560000,domain
chr1,28570000,28960000,domain
chr1,28680000,28950000,domain
chr1,29090000,29540000,domain
chr1,29200000,29540000,domain
chr1,29550000,31190000,domain
chr1,31260000,31410000,domain
chr1,31550000,32020000,domain
chr1,32090000,32260000,domain
chr1,32270000,32480000,domain
chr1,32660000,32860000,domain
chr1,32880000,33280000,domain
chr1,32900000,33120000,domain
chr1,33340000,33560000,domain
chr1,33580000,33950000,domain
chr1,34100000,35200000,domain
chr1,35390000,35650000,domain
chr1,35660000,35880000,domain
chr1,36030000,36250000,domain
chr1,36330000,36550000,domain
chr1,36550000,36920000,domain
chr1,36560000,36760000,domain
chr1,36770000,36920000,domain
chr1,36970000,37900000,domain
chr1,38490000,39310000,domain
chr1,39060000,39300000,domain
chr1,39320000,39540000,domain
chr1,39560000,39750000,domain
chr1,40050000,40220000,domain
chr1,40270000,40510000,domain
chr1,40530000,40900000,domain
chr1,41050000,41450000,domain
chr1,41480000,41710000,domain
chr1,41720000,41960000,domain
chr1,42000000,42590000,domain
chr1,42030000,42270000,domain
chr1,42640000,43230000,domain
chr1,42640000,42800000,domain
chr1,43240000,43580000,domain
chr1,43670000,43900000,domain
chr1,44180000,44440000,domain
chr1,44520000,44680000,domain
chr1,44660000,45130000,domain
chr1,44820000,45100000,domain
chr1,45290000,45480000,domain
chr1,45490000,45770000,domain
chr1,45810000,46040000,domain
chr1,46150000,46380000,domain
chr1,46480000,46690000,domain
chr1,46850000,47200000,domain
chr1,46860000,47020000,domain
chr1,47640000,47850000,domain
chr1,47900000,48190000,domain
chr1,48210000,48480000,domain
chr1,48550000,48710000,domain
chr1,48750000,48970000,domain
chr1,49300000,50800000,domain
chr1,50820000,51180000,domain
chr1,51200000,51690000,domain
chr1,52030000,52250000,domain
chr1,52300000,52500000,domain
chr1,52550000,52820000,domain
chr1,52860000,53160000,domain
chr1,53340000,53670000,domain
chr1,53700000,53880000,domain
chr1,53730000,54220000,domain
chr1,53930000,54230000,domain
chr1,54300000,54520000,domain
chr1,54560000,54970000,domain
chr1,55370000,55520000,domain
chr1,55560000,55750000,domain
chr1,57050000,57210000,domain
chr1,57300000,58650000,domain
chr1,58980000,59150000,domain
chr1,59160000,60260000,domain
chr1,60610000,61280000,domain
chr1,61300000,61510000,domain
chr1,61520000,61920000,domain
chr1,62380000,62560000,domain
chr1,62630000,62880000,domain
chr1,62900000,63260000,domain
chr1,63350000,63760000,domain
chr1,64060000,64710000,domain
chr1,64720000,65270000,domain
chr1,65140000,65290000,domain
chr1,65300000,65500000,domain
chr1,66710000,66920000,domain
chr1,66970000,67200000,domain
chr1,67680000,67980000,domain
chr1,67990000,68230000,domain
chr1,68320000,68570000,domain
chr1,68580000,68830000,domain
chr1,70660000,70980000,domain
chr1,75270000,75560000,domain
chr1,76360000,77590000,domain
chr1,77610000,78010000,domain
chr1,78410000,78590000,domain
chr1,79340000,79710000,domain
chr1,79710000,79850000,domain
chr1,79950000,80600000,domain
chr1,82000000,82270000,domain
chr1,84370000,84600000,domain
