chr,from.coord,to.coord,type
chrX,0,0,gap
chrX,0,900000,domain
chrX,900000,2400000,domain
chrX,2400000,3400000,domain
chrX,3400000,5400000,domain
chrX,5400000,7300000,domain
chrX,7300000,8100000,domain
chrX,8100000,9100000,domain
chrX,9100000,10100000,domain
chrX,10100000,11600000,domain
chrX,11600000,13100000,domain
chrX,13100000,14500000,domain
chrX,14500000,16100000,domain
chrX,16100000,17700000,domain
chrX,17700000,19000000,domain
chrX,19000000,20900000,domain
chrX,20900000,22400000,domain
chrX,22400000,23700000,domain
chrX,23700000,24500000,domain
chrX,24500000,27100000,domain
chrX,27100000,29400000,domain
chrX,29400000,30500000,domain
chrX,30500000,31600000,domain
chrX,31600000,34100000,domain
chrX,34100000,36100000,domain
chrX,36100000,39000000,domain
chrX,39000000,40500000,domain
chrX,40500000,41900000,domain
chrX,41900000,42900000,domain
chrX,42900000,44800000,domain
chrX,44800000,46100000,domain
chrX,46100000,48000000,domain
chrX,48000000,49300000,domain
chrX,49300000,50800000,domain
chrX,50800000,53300000,domain
chrX,53300000,54500000,domain
chrX,54500000,55900000,domain
chrX,55900000,56900000,domain
chrX,56900000,57600000,domain
chrX,57600000,59300000,domain
chrX,59300000,61400000,domain
chrX,61400000,63200000,domain
chrX,63200000,64400000,domain
chrX,64400000,65100000,domain
chrX,65100000,66400000,domain
chrX,66400000,67600000,domain
chrX,67600000,68400000,domain
chrX,68400000,70900000,domain
chrX,70900000,71900000,domain
chrX,71900000,72600000,domain
chrX,72600000,74300000,domain
chrX,74300000,76100000,domain
chrX,76100000,83900000,domain
chrX,83900000,84700000,domain
chrX,84700000,85600000,domain
chrX,85600000,86100000,domain
chrX,86100000,87400000,domain
chrX,87400000,90000000,domain
chrX,90000000,91100000,domain
chrX,91100000,92400000,domain
chrX,92400000,93300000,domain
chrX,93300000,94400000,domain
chrX,94400000,95700000,domain
chrX,95700000,98500000,domain
chrX,98500000,100900000,domain
chrX,100900000,102100000,domain
chrX,102100000,103900000,domain
chrX,103900000,106400000,domain
chrX,106400000,111800000,domain
chrX,111800000,112700000,domain
chrX,112700000,113500000,domain
chrX,113500000,114300000,domain
chrX,114300000,116000000,domain
chrX,116000000,118500000,domain
chrX,118500000,119500000,domain
chrX,119500000,120200000,domain
chrX,120200000,121400000,domain
chrX,121400000,122100000,domain
chrX,122100000,125200000,domain
chrX,125200000,126100000,domain
chrX,126100000,128900000,domain
chrX,128900000,130400000,domain
chrX,130400000,131500000,domain
chrX,131500000,132400000,domain
chrX,132400000,133500000,domain
chrX,133500000,134200000,domain
chrX,134200000,134900000,domain
chrX,134900000,136000000,domain
