Chr,MoC
chr1,0.31796099638961167
chr2,0.3254621879662044
chr3,0.3619044191957474
chr4,0.35282331208059436
chr5,0.3640992702501086
chr6,0.3796684502048776
chr7,0.37030919699627096
chr8,0.3619834744713577
chr9,0.27859199430451786
chr10,0.3458117710041769
chr11,0.35755669588912364
chr12,0.35654556506566953
chr13,0.2659108891269151
chr14,0.24656537791547548
chr15,0.2511775739393934
chr16,0.28098725118537465
chr17,0.3609394956040182
chr18,0.3550456240385689
chr19,0.32810445288205536
chr20,0.36333628617550223
chr21,0.40703622336604095
chr22,0.3788566106971742
chrX,0.30285891886502575
Whole genome,0.3350354930462862
