chr,from.coord,to.coord,type
chr22,0,16000000,gap
chr22,16000000,16700000,domain
chr22,16700000,16800000,gap
chr22,16800000,18800000,domain
chr22,18800000,20500000,domain
chr22,20500000,21700000,domain
chr22,21700000,24000000,domain
chr22,24000000,25000000,domain
chr22,25000000,27100000,domain
chr22,27100000,28200000,domain
chr22,28200000,29000000,domain
chr22,29000000,29700000,domain
chr22,29700000,30800000,domain
chr22,30800000,31700000,domain
chr22,31700000,33600000,domain
chr22,33600000,34400000,domain
chr22,34400000,35600000,domain
chr22,35600000,36900000,domain
chr22,36900000,37500000,domain
chr22,37500000,38900000,domain
chr22,38900000,39700000,domain
chr22,39700000,40500000,domain
chr22,40500000,41800000,domain
chr22,41800000,42800000,domain
chr22,42800000,43400000,domain
chr22,43400000,44100000,domain
chr22,44100000,45000000,domain
chr22,45000000,47400000,domain
chr22,47400000,48700000,domain
chr22,48700000,49900000,domain
chr22,49900000,51100000,domain
