chr,from.coord,to.coord,tag
chr1,1010000,1230000,domain
chr1,1270000,1460000,domain
chr1,1850000,2080000,domain
chr1,2120000,2320000,domain
chr1,2350000,2500000,domain
chr1,2690000,3340000,domain
chr1,3400000,3540000,domain
chr1,3990000,4680000,domain
chr1,4700000,5560000,domain
chr1,6090000,6300000,domain
chr1,6530000,6720000,domain
chr1,6750000,6970000,domain
chr1,6980000,7270000,domain
chr1,7280000,7710000,domain
chr1,7720000,8030000,domain
chr1,7830000,8030000,domain
chr1,8040000,8410000,domain
chr1,8430000,8820000,domain
chr1,8620000,8770000,domain
chr1,8930000,9170000,domain
chr1,9170000,9320000,domain
chr1,9340000,9550000,domain
chr1,10000000,10220000,domain
chr1,10220000,10410000,domain
chr1,10690000,11040000,domain
chr1,11090000,11300000,domain
chr1,11330000,11710000,domain
chr1,12130000,12300000,domain
chr1,12430000,12720000,domain
chr1,14140000,14290000,domain
chr1,14290000,14440000,domain
chr1,14420000,14900000,domain
chr1,15430000,15630000,domain
chr1,15630000,15780000,domain
chr1,15860000,16090000,domain
chr1,16110000,16330000,domain
chr1,16390000,16560000,domain
chr1,17380000,17740000,domain
chr1,17770000,17980000,domain
chr1,17990000,18240000,domain
chr1,18600000,18860000,domain
chr1,18910000,19200000,domain
chr1,19210000,19420000,domain
chr1,19680000,19990000,domain
chr1,20020000,20220000,domain
chr1,20250000,20500000,domain
chr1,20530000,20820000,domain
chr1,20830000,21000000,domain
chr1,21280000,21530000,domain
chr1,21530000,21700000,domain
chr1,21700000,21940000,domain
chr1,22000000,22380000,domain
chr1,22440000,22740000,domain
chr1,22750000,22980000,domain
chr1,23000000,23260000,domain
chr1,23300000,23620000,domain
chr1,23400000,23610000,domain
chr1,23860000,24010000,domain
chr1,24520000,24720000,domain
chr1,24740000,24970000,domain
chr1,24980000,25170000,domain
chr1,25170000,25550000,domain
chr1,25900000,26130000,domain
chr1,26150000,26350000,domain
chr1,26350000,26760000,domain
chr1,26910000,27130000,domain
chr1,27430000,27630000,domain
chr1,27720000,27990000,domain
chr1,28170000,28340000,domain
chr1,28390000,28550000,domain
chr1,29200000,29550000,domain
chr1,29210000,29380000,domain
chr1,30370000,30560000,domain
chr1,30850000,31180000,domain
chr1,31270000,31410000,domain
chr1,31650000,31840000,domain
chr1,31870000,32030000,domain
chr1,32110000,32260000,domain
chr1,32260000,32480000,domain
chr1,32660000,32840000,domain
chr1,32870000,33120000,domain
chr1,33360000,33560000,domain
chr1,33570000,33950000,domain
chr1,33940000,34090000,domain
chr1,34090000,35220000,domain
chr1,35450000,35640000,domain
chr1,35640000,35830000,domain
chr1,35900000,36030000,domain
chr1,36030000,36250000,domain
chr1,36350000,36550000,domain
chr1,36560000,36760000,domain
chr1,36980000,37910000,domain
chr1,38490000,39310000,domain
chr1,39060000,39290000,domain
chr1,39320000,39550000,domain
chr1,39560000,39750000,domain
chr1,40010000,40250000,domain
chr1,40270000,40530000,domain
chr1,40540000,40910000,domain
chr1,41040000,41470000,domain
chr1,41050000,41240000,domain
chr1,41300000,41470000,domain
chr1,41490000,41720000,domain
chr1,41720000,41930000,domain
chr1,42030000,42270000,domain
chr1,42270000,42610000,domain
chr1,42640000,42800000,domain
chr1,43240000,43390000,domain
chr1,43390000,43550000,domain
chr1,43690000,43880000,domain
chr1,44200000,44440000,domain
chr1,44520000,44680000,domain
chr1,44780000,45140000,domain
chr1,45290000,45480000,domain
chr1,45480000,45760000,domain
chr1,45790000,46050000,domain
chr1,46090000,46350000,domain
chr1,46490000,46650000,domain
chr1,46860000,47030000,domain
chr1,47050000,47190000,domain
chr1,47190000,47640000,domain
chr1,47340000,47560000,domain
chr1,47640000,47850000,domain
chr1,47900000,48190000,domain
chr1,48230000,48410000,domain
chr1,48560000,48710000,domain
chr1,48720000,48980000,domain
chr1,49010000,49340000,domain
chr1,50540000,50790000,domain
chr1,50820000,51070000,domain
chr1,51220000,51680000,domain
chr1,51980000,52260000,domain
chr1,52070000,52260000,domain
chr1,52280000,52490000,domain
chr1,52550000,52810000,domain
chr1,52870000,53160000,domain
chr1,53000000,53160000,domain
chr1,53720000,53880000,domain
chr1,53920000,54230000,domain
chr1,54300000,54520000,domain
chr1,54550000,54960000,domain
chr1,54690000,54960000,domain
chr1,55320000,55500000,domain
chr1,55560000,55750000,domain
chr1,55870000,56330000,domain
chr1,56870000,57050000,domain
chr1,57050000,57280000,domain
chr1,57870000,58520000,domain
chr1,58660000,58950000,domain
chr1,58980000,59140000,domain
chr1,59760000,60210000,domain
chr1,60440000,60630000,domain
chr1,60730000,61270000,domain
chr1,61290000,61510000,domain
chr1,61520000,61820000,domain
chr1,61920000,62140000,domain
chr1,62390000,62590000,domain
chr1,62620000,62900000,domain
chr1,62980000,63250000,domain
chr1,63330000,63790000,domain
chr1,64050000,64710000,domain
chr1,64390000,64640000,domain
chr1,64720000,65150000,domain
chr1,65140000,65300000,domain
chr1,65310000,65490000,domain
chr1,65520000,65690000,domain
chr1,65690000,66150000,domain
chr1,65700000,65890000,domain
chr1,66170000,66420000,domain
chr1,66430000,66710000,domain
chr1,66710000,66930000,domain
chr1,66970000,67200000,domain
chr1,67220000,67410000,domain
chr1,67460000,67670000,domain
chr1,67680000,67980000,domain
chr1,68000000,68160000,domain
chr1,68310000,68570000,domain
chr1,68580000,68860000,domain
chr1,68930000,70250000,domain
chr1,70690000,70980000,domain
chr1,70990000,71530000,domain
chr1,71560000,72020000,domain
chr1,72060000,72530000,domain
chr1,72640000,73090000,domain
chr1,73100000,73600000,domain
chr1,74290000,74470000,domain
chr1,74470000,75170000,domain
chr1,75220000,75690000,domain
chr1,75500000,75680000,domain
chr1,75690000,76180000,domain
chr1,76320000,76620000,domain
chr1,76770000,77300000,domain
chr1,77350000,77540000,domain
chr1,77610000,78020000,domain
chr1,78180000,78390000,domain
chr1,78420000,78590000,domain
chr1,78600000,79080000,domain
chr1,79150000,79300000,domain
chr1,79310000,79690000,domain
chr1,79940000,80660000,domain
chr1,82010000,82250000,domain
chr1,82280000,82490000,domain
chr1,82500000,83170000,domain
chr1,84040000,84330000,domain
chr1,84370000,84600000,domain
chr1,84610000,84900000,domain
chr1,84910000,85240000,domain
chr1,84910000,85080000,domain
chr1,85080000,85230000,domain
chr1,85240000,85410000,domain
chr1,85410000,85740000,domain
chr1,85550000,85730000,domain
chr1,85760000,86170000,domain
chr1,86180000,86820000,domain
chr1,86960000,87170000,domain
chr1,87220000,87560000,domain
chr1,87580000,87770000,domain
chr1,88610000,89060000,domain
chr1,88810000,89000000,domain
chr1,89180000,89380000,domain
chr1,89440000,89930000,domain
chr1,89930000,90080000,domain
chr1,89940000,90240000,domain
chr1,90090000,90240000,domain
chr1,90260000,90480000,domain
chr1,90560000,91050000,domain
chr1,92060000,92400000,domain
chr1,92450000,92750000,domain
chr1,92770000,93090000,domain
chr1,93310000,93470000,domain
chr1,94100000,94320000,domain
chr1,94490000,94810000,domain
chr1,94510000,94650000,domain
chr1,94980000,95270000,domain
chr1,95290000,95520000,domain
chr1,95540000,95720000,domain
chr1,95760000,96380000,domain
chr1,95920000,96370000,domain
chr1,96420000,96690000,domain
chr1,96700000,97200000,domain
chr1,97710000,97990000,domain
chr1,98080000,98290000,domain
chr1,98520000,98940000,domain
chr1,99000000,99230000,domain
chr1,99240000,99640000,domain
chr1,99650000,99920000,domain
chr1,99950000,100170000,domain
chr1,100270000,100540000,domain
chr1,100930000,101350000,domain
chr1,101380000,101760000,domain
chr1,101760000,101940000,domain
chr1,101960000,102700000,domain
chr1,103020000,103450000,domain
chr1,104300000,105190000,domain
chr1,105290000,106250000,domain
chr1,106540000,107700000,domain
chr1,108070000,108300000,domain
chr1,109790000,109960000,domain
chr1,110180000,110310000,domain
chr1,110320000,110540000,domain
chr1,110700000,111050000,domain
chr1,110720000,110880000,domain
chr1,111060000,111340000,domain
chr1,111160000,111330000,domain
