"chr","from.coord","to.coord","tag"
"chr21",0,9400000,"gap"
"chr21",9400000,11200000,"domain"
"chr21",11200000,14300000,"gap"
"chr21",14300000,15700000,"domain"
"chr21",15700000,17300000,"domain"
"chr21",17300000,18700000,"domain"
"chr21",18700000,19700000,"domain"
"chr21",19700000,27100000,"domain"
"chr21",27100000,27500000,"boundary"
"chr21",27500000,30100000,"domain"
"chr21",30100000,31200000,"domain"
"chr21",31200000,32400000,"domain"
"chr21",32400000,33000000,"domain"
"chr21",33000000,33600000,"domain"
"chr21",33600000,34800000,"domain"
"chr21",34800000,35100000,"boundary"
"chr21",35100000,36600000,"domain"
"chr21",36600000,37200000,"boundary"
"chr21",37200000,38000000,"domain"
"chr21",38000000,39800000,"domain"
"chr21",39800000,41600000,"domain"
"chr21",41600000,42100000,"boundary"
"chr21",42100000,42900000,"domain"
"chr21",42900000,44300000,"domain"
"chr21",44300000,45200000,"domain"
