chr,from.coord,to.coord,tag
chr1,920000,1240000,domain
chr1,1250000,1460000,domain
chr1,1850000,2100000,domain
chr1,2120000,2330000,domain
chr1,2960000,3330000,domain
chr1,3360000,3570000,domain
chr1,5520000,5910000,domain
chr1,6050000,6540000,domain
chr1,6060000,6270000,domain
chr1,6290000,6520000,domain
chr1,6540000,6730000,domain
chr1,6740000,7720000,domain
chr1,6760000,6980000,domain
chr1,7270000,7710000,domain
chr1,7720000,8020000,domain
chr1,8030000,8400000,domain
chr1,8430000,8920000,domain
chr1,8610000,8780000,domain
chr1,8940000,9650000,domain
chr1,8940000,9170000,domain
chr1,9170000,9320000,domain
chr1,9330000,9550000,domain
chr1,9650000,9940000,domain
chr1,9670000,10420000,domain
chr1,9790000,9940000,domain
chr1,9950000,10430000,domain
chr1,10000000,10220000,domain
chr1,10220000,10410000,domain
chr1,10560000,11060000,domain
chr1,11090000,11320000,domain
chr1,11340000,11710000,domain
chr1,11710000,11860000,domain
chr1,12160000,12300000,domain
chr1,12350000,12720000,domain
chr1,13980000,14160000,domain
chr1,14380000,15060000,domain
chr1,15060000,15420000,domain
chr1,15220000,15400000,domain
chr1,15440000,15620000,domain
chr1,15440000,15850000,domain
chr1,15630000,15850000,domain
chr1,15860000,16090000,domain
chr1,16110000,16340000,domain
chr1,16390000,16740000,domain
chr1,16390000,16560000,domain
chr1,16560000,16700000,domain
chr1,17380000,17730000,domain
chr1,17740000,17970000,domain
chr1,17980000,18440000,domain
chr1,18550000,18840000,domain
chr1,18890000,19190000,domain
chr1,19260000,19420000,domain
chr1,19420000,19580000,domain
chr1,19660000,19990000,domain
chr1,19790000,19980000,domain
chr1,20010000,20220000,domain
chr1,20210000,20830000,domain
chr1,20250000,20520000,domain
chr1,20530000,20830000,domain
chr1,20680000,20830000,domain
chr1,20830000,21000000,domain
chr1,21010000,21530000,domain
chr1,21540000,21700000,domain
chr1,21540000,21990000,domain
chr1,21700000,21830000,domain
chr1,22000000,22370000,domain
chr1,22140000,22340000,domain
chr1,22420000,22990000,domain
chr1,22430000,22730000,domain
chr1,22740000,22980000,domain
chr1,23000000,23250000,domain
chr1,23300000,23610000,domain
chr1,23620000,23810000,domain
chr1,23850000,24020000,domain
chr1,24080000,24250000,domain
chr1,24520000,24720000,domain
chr1,24730000,24970000,domain
chr1,24970000,25180000,domain
chr1,25180000,25540000,domain
chr1,25560000,26150000,domain
