"","chromosome","best_score","best_length"
"chr10.1","chr10",1,1100000
"chr10.2","chr10",1,2000000
"chr10.3","chr10",1,1500000
"chr10.4","chr10",0.625,700000
"chr10.5","chr10",0.9,400000
"chr10.6","chr10",0.782608695652174,300000
"chr10.7","chr10",1,1100000
"chr10.8","chr10",1,1400000
"chr10.9","chr10",1,2000000
"chr10.10","chr10",1,1500000
"chr10.11","chr10",0.744186046511628,500000
"chr10.12","chr10",1,700000
"chr10.13","chr10",1,700000
"chr10.14","chr10",1,700000
"chr10.15","chr10",1,1000000
"chr10.16","chr10",0.903225806451613,600000
"chr10.17","chr10",1,1100000
"chr10.18","chr10",0.517241379310345,1000000
"chr10.19","chr10",1,1100000
"chr10.20","chr10",0.843137254901961,1200000
"chr10.21","chr10",1,1100000
"chr10.22","chr10",1,1400000
"chr10.23","chr10",1,600000
"chr10.24","chr10",1,500000
"chr10.25","chr10",1,700000
"chr10.26","chr10",1,1100000
"chr10.27","chr10",1,1200000
"chr10.28","chr10",1,800000
"chr10.29","chr10",1,900000
"chr10.30","chr10",0,300000
"chr10.31","chr10",1,1100000
"chr10.32","chr10",0.875,600000
"chr10.33","chr10",1,800000
"chr10.34","chr10",1,1500000
"chr10.35","chr10",0.300970873786408,300000
"chr10.36","chr10",0.883495145631068,600000
"chr10.37","chr10",1,2500000
"chr10.38","chr10",1,1200000
"chr10.39","chr10",1,1300000
"chr10.40","chr10",0,700000
"chr10.41","chr10",0,800000
"chr10.42","chr10",0,1500000
"chr10.43","chr10",0,600000
"chr10.44","chr10",1,1400000
"chr10.45","chr10",0.535211267605634,500000
"chr10.46","chr10",1,3000000
"chr10.47","chr10",1,3000000
"chr10.48","chr10",1,2000000
"chr10.49","chr10",1,1000000
"chr10.50","chr10",1,700000
"chr10.51","chr10",0.866666666666667,600000
"chr10.52","chr10",1,700000
"chr10.53","chr10",1,2400000
"chr10.54","chr10",1,1400000
"chr10.55","chr10",0.894736842105263,700000
"chr10.56","chr10",1,900000
"chr10.57","chr10",1,700000
"chr10.58","chr10",1,500000
"chr10.59","chr10",1,1300000
"chr10.60","chr10",1,600000
"chr10.61","chr10",1,1000000
"chr10.62","chr10",0.840579710144927,1900000
"chr10.63","chr10",0.178571428571429,300000
"chr10.64","chr10",1,1100000
"chr10.65","chr10",0.416666666666667,700000
"chr10.66","chr10",1,900000
"chr10.67","chr10",1,2700000
"chr10.68","chr10",1,600000
"chr10.69","chr10",1,1700000
"chr10.70","chr10",0.25,300000
"chr10.71","chr10",0.41304347826087,500000
"chr10.72","chr10",1,1100000
"chr10.73","chr10",0.956521739130435,400000
"chr10.74","chr10",1,500000
"chr10.75","chr10",1,1000000
"chr10.76","chr10",1,1100000
"chr10.77","chr10",1,800000
"chr10.78","chr10",1,900000
"chr10.79","chr10",1,1100000
"chr10.80","chr10",0,500000
"chr10.81","chr10",0.823529411764706,500000
"chr10.82","chr10",0.176470588235294,600000
"chr10.83","chr10",1,1100000
"chr10.84","chr10",0.7,800000
"chr10.85","chr10",0,900000
"chr10.86","chr10",1,1000000
"chr10.87","chr10",1,700000
"chr10.88","chr10",1,700000
"chr10.89","chr10",0.6,400000
"chr10.90","chr10",1,800000
"chr10.91","chr10",0.0666666666666667,400000
"chr10.92","chr10",1,2300000
"chr10.93","chr10",1,3300000
"chr10.94","chr10",1,2100000
"chr10.95","chr10",1,1500000
"chr10.96","chr10",1,600000
"chr10.97","chr10",1,1000000
"chr10.98","chr10",1,1300000
"chr10.99","chr10",1,700000
"chr10.100","chr10",1,1200000
"chr10.101","chr10",0.709677419354839,600000
"chr10.102","chr10",0.304347826086957,400000
"chr10.103","chr10",1,1000000
"chr10.104","chr10",1,1100000
"chr10.105","chr10",0.0285714285714286,800000
"chr10.106","chr10",1,1200000
"chr10.107","chr10",1,500000
"chr10.108","chr10",1,700000
"chr10.109","chr10",1,1700000
"chr10.110","chr10",1,500000
"chr10.111","chr10",1,2000000
"chr10.112","chr10",1,1700000
"chr10.113","chr10",1,800000
"chr10.114","chr10",1,900000
"chr10.115","chr10",NA,NA
"chr10.116","chr10",NA,NA
"chr10.117","chr10",NA,NA
"chr10.118","chr10",NA,NA
"chr10.119","chr10",NA,NA
"chr10.120","chr10",NA,NA
"chr10.121","chr10",NA,NA
"chr10.122","chr10",NA,NA
"chr10.123","chr10",NA,NA
"chr11.1","chr11",0.0909090909090909,600000
"chr11.2","chr11",1,800000
"chr11.3","chr11",1,600000
"chr11.4","chr11",1,1200000
"chr11.5","chr11",0,600000
"chr11.6","chr11",1,1700000
"chr11.7","chr11",0.883720930232558,600000
"chr11.8","chr11",1,1200000
"chr11.9","chr11",1,900000
"chr11.10","chr11",1,900000
"chr11.11","chr11",1,600000
"chr11.12","chr11",1,400000
"chr11.13","chr11",1,1400000
"chr11.14","chr11",0.702702702702703,700000
"chr11.15","chr11",1,500000
"chr11.16","chr11",1,1000000
"chr11.17","chr11",1,800000
"chr11.18","chr11",1,1400000
"chr11.19","chr11",0,700000
"chr11.20","chr11",1,400000
"chr11.21","chr11",1,800000
"chr11.22","chr11",1,1800000
"chr11.23","chr11",1,1500000
"chr11.24","chr11",0.714285714285714,700000
"chr11.25","chr11",1,3400000
"chr11.26","chr11",1,1300000
"chr11.27","chr11",1,1000000
"chr11.28","chr11",1,800000
"chr11.29","chr11",1,1700000
"chr11.30","chr11",1,1200000
"chr11.31","chr11",0,500000
"chr11.32","chr11",1,1000000
"chr11.33","chr11",1,400000
"chr11.34","chr11",1,900000
"chr11.35","chr11",1,800000
"chr11.36","chr11",1,500000
"chr11.37","chr11",1,4700000
"chr11.38","chr11",1,1900000
"chr11.39","chr11",0.133333333333333,700000
"chr11.40","chr11",0.866666666666667,600000
"chr11.41","chr11",1,900000
"chr11.42","chr11",1,400000
"chr11.43","chr11",1,900000
"chr11.44","chr11",1,900000
"chr11.45","chr11",1,1300000
"chr11.46","chr11",0,500000
"chr11.47","chr11",0,400000
"chr11.48","chr11",1,1700000
"chr11.49","chr11",0,1200000
"chr11.50","chr11",0,1300000
"chr11.51","chr11",0,300000
"chr11.52","chr11",0,600000
