chr,from.coord,to.coord,type
chr3,0,0,gap
chr3,0,500000,domain
chr3,500000,2000000,domain
chr3,2000000,3000000,domain
chr3,3000000,4600000,domain
chr3,4600000,6400000,domain
chr3,6400000,8400000,domain
chr3,8400000,9100000,domain
chr3,9100000,10600000,domain
chr3,10600000,11500000,domain
chr3,11500000,12300000,domain
chr3,12300000,13500000,domain
chr3,13500000,14200000,domain
chr3,14200000,15900000,domain
chr3,15900000,17300000,domain
chr3,17300000,19800000,domain
chr3,19800000,20800000,domain
chr3,20800000,22300000,domain
chr3,22300000,22900000,domain
chr3,22900000,23900000,domain
chr3,23900000,25200000,domain
chr3,25200000,26900000,domain
chr3,26900000,27600000,domain
chr3,27600000,29700000,domain
chr3,29700000,30400000,domain
chr3,30400000,32500000,domain
chr3,32500000,33300000,domain
chr3,33300000,33900000,domain
chr3,33900000,34500000,domain
chr3,34500000,35500000,domain
chr3,35500000,36500000,domain
chr3,36500000,38800000,domain
chr3,38800000,39600000,domain
chr3,39600000,40300000,domain
chr3,40300000,41300000,domain
chr3,41300000,41900000,domain
chr3,41900000,43000000,domain
chr3,43000000,44100000,domain
chr3,44100000,45500000,domain
chr3,45500000,48800000,domain
chr3,48800000,50200000,domain
chr3,50200000,51700000,domain
chr3,51700000,53200000,domain
chr3,53200000,54100000,domain
chr3,54100000,55700000,domain
chr3,55700000,56300000,domain
chr3,56300000,58000000,domain
chr3,58000000,58700000,domain
chr3,58700000,59700000,domain
chr3,59700000,60700000,domain
chr3,60700000,61700000,domain
chr3,61700000,63500000,domain
chr3,63500000,64800000,domain
chr3,64800000,66400000,domain
chr3,66400000,67700000,domain
chr3,67700000,68900000,domain
chr3,68900000,69800000,domain
chr3,69800000,71700000,domain
chr3,71700000,74500000,domain
chr3,74500000,75600000,domain
chr3,75600000,77200000,domain
chr3,77200000,78200000,domain
chr3,78200000,80000000,domain
chr3,80000000,81900000,domain
chr3,81900000,83000000,domain
chr3,83000000,83800000,domain
chr3,83800000,85000000,domain
chr3,85000000,85900000,domain
chr3,85900000,86900000,domain
chr3,86900000,87800000,domain
chr3,87800000,88700000,domain
chr3,88700000,90200000,domain
chr3,90200000,91700000,domain
chr3,91700000,93300000,domain
chr3,93300000,94700000,domain
chr3,94700000,98200000,domain
chr3,98200000,99800000,domain
chr3,99800000,101900000,domain
chr3,101900000,102800000,domain
chr3,102800000,103900000,domain
chr3,103900000,105300000,domain
chr3,105300000,107000000,domain
chr3,107000000,108000000,domain
chr3,108000000,109800000,domain
chr3,109800000,110400000,domain
chr3,110400000,111900000,domain
chr3,111900000,113000000,domain
chr3,113000000,115100000,domain
chr3,115100000,117300000,domain
chr3,117300000,118500000,domain
chr3,118500000,119600000,domain
chr3,119600000,120600000,domain
chr3,120600000,121900000,domain
chr3,121900000,123700000,domain
chr3,123700000,125400000,domain
chr3,125400000,126200000,domain
chr3,126200000,128000000,domain
chr3,128000000,129000000,domain
chr3,129000000,131200000,domain
chr3,131200000,133500000,domain
chr3,133500000,134300000,domain
chr3,134300000,135300000,domain
chr3,135300000,136600000,domain
chr3,136600000,138300000,domain
chr3,138300000,139600000,domain
chr3,139600000,141000000,domain
chr3,141000000,142200000,domain
chr3,142200000,142800000,domain
chr3,142800000,143700000,domain
chr3,143700000,145000000,domain
chr3,145000000,146500000,domain
chr3,146500000,149200000,domain
chr3,149200000,150100000,domain
chr3,150100000,151000000,domain
chr3,151000000,152100000,domain
chr3,152100000,152900000,domain
chr3,152900000,153900000,domain
chr3,153900000,158000000,domain
chr3,158000000,159500000,domain
chr3,159500000,160800000,domain
chr3,160800000,161800000,domain
chr3,161800000,163800000,domain
chr3,163800000,164900000,domain
chr3,164900000,166800000,domain
chr3,166800000,167900000,domain
chr3,167900000,169900000,domain
chr3,169900000,170700000,domain
chr3,170700000,171600000,domain
chr3,171600000,173200000,domain
chr3,173200000,174300000,domain
chr3,174300000,175100000,domain
chr3,175100000,176500000,domain
chr3,176500000,178100000,domain
chr3,178100000,178600000,domain
